----Player Bike Data: ID 0, HRmax: 191.2----
DateTime: 27/03/2024 3:55:33 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:55:38 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:55:43 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:55:48 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:55:53 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:55:58 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:03 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:08 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:13 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:18 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:23 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:28 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:33 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:38 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:43 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:48 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:53 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:56:59 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:04 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:09 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:14 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:20 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:25 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:30 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:35 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:40 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:45 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:50 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:57:55 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:00 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:05 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:10 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:15 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:20 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:25 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:30 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:35 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:40 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:45 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:50 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:58:55 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:00 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:05 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:10 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:59:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:00:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:01:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:12 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:17 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:22 p.m., RPM: 0, HR: 0, Speed: 0
